what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1306870276726
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1306870276726
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1306870276727
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1306870276727
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1306870276728
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1306870276728
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1306870276729
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1306870276729
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1306870276730
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1306870276731
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1306870276732
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1306870276733
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1306870276733
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1306870276733
os,sysinfo,,,"macosx",1306870276736
arch,sysinfo,,,"x86",1306870276736
ws,sysinfo,,,"cocoa",1306870276736
locale,sysinfo,,,"en_US",1306870276736
processors,sysinfo,,,"2",1306870276736
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1306870276736
java.runtime.version,sysinfo,,,"1.6.0_24-b07-334-10M3326",1306870276736
java.specification.name,sysinfo,,,"Java Platform API Specification",1306870276736
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1306870276736
java.specification.version,sysinfo,,,"1.6",1306870276736
java.vendor,sysinfo,,,"Apple Inc.",1306870276736
java.version,sysinfo,,,"1.6.0_24",1306870276736
java.vm.info,sysinfo,,,"mixed mode",1306870276736
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1306870276736
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1306870276736
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1306870276736
java.vm.specification.version,sysinfo,,,"1.0",1306870276736
java.vm.vendor,sysinfo,,,"Apple Inc.",1306870276736
java.vm.version,sysinfo,,,"19.1-b02-334",1306870276736
